date,avg_price,volume,ticker
2024-03-11,70021.595,4476609937.75,BTC
2024-03-12,70816.70999999999,4173072731.62,BTC
2024-03-13,72500.92,3008299520.61,BTC
2024-03-14,71148.275,4325873413.25,BTC
2024-03-15,68987.375,5016358153.02,BTC
2024-03-16,67413.55,2295869354.32,BTC
2024-03-17,66701.59,1962751757.05,BTC
2024-03-18,67754.83499999999,2602930945.01,BTC
2024-03-19,64822.84,4863914201.82,BTC
2024-03-20,64461.065,4466872469.25,BTC
2024-03-21,66388.735,2542747734.72,BTC
2024-03-22,64482.47,2395884490.04,BTC
2024-03-23,64515.850000000006,1250716141.79,BTC
2024-03-24,65713.3,1253420264.9,BTC
2024-03-25,68801.555,3184570068.52,BTC
2024-03-26,70426.77,2319265484.04,BTC
2024-03-27,70073.38500000001,2817965870.72,BTC
2024-03-28,70229.41,2214217706.88,BTC
2024-03-29,69992.035,1216001428.98,BTC
2024-03-30,69971.04000000001,515940317.66,BTC
2024-03-31,70495.58499999999,745658086.55,BTC
2024-04-01,69700.265,2005923775.26,BTC
2024-04-02,67137.405,3234216304.99,BTC
2024-04-03,65720.4,1835055534.78,BTC
2024-04-04,67212.37,2475521298.64,BTC
2024-04-05,67383.495,2219856764.99,BTC
2024-04-06,68577.955,772361130.33,BTC
2024-04-07,69590.215,951477284.85,BTC
2024-04-08,70907.45999999999,2607488940.79,BTC
2024-04-09,69981.08,2411758700.3,BTC
2024-04-10,69315.6,2563902180.98,BTC
2024-04-11,70427.93,1758820969.32,BTC
2024-04-12,68252.13,3367653179.18,BTC
2024-04-13,64751.035,3689543158.77,BTC
2024-04-14,64052.340000000004,2627998512.52,BTC
2024-04-15,64615.505000000005,2658417494.41,BTC
2024-04-16,63026.59,2234500815.41,BTC
2024-04-17,62093.28,2562816108.8,BTC
2024-04-18,62505.259999999995,1972785716.37,BTC
2024-04-19,62549.715,2923364930.21,BTC
2024-04-20,64296.875,866105478.99,BTC
2024-04-21,64997.994999999995,854324202.42,BTC
2024-04-22,65897.04999999999,1510230897.53,BTC
2024-04-23,66523.54,1169300050.32,BTC
2024-04-24,65312.245,1878460968.73,BTC
2024-04-25,64019.675,1713069016.97,BTC
2024-04-26,64051.354999999996,1275865834.83,BTC
2024-04-27,63156.91,799665556.56,BTC
2024-04-28,63552.045,642628554.25,BTC
2024-04-29,62980.525,1370557060.16,BTC
2024-04-30,61909.21,2518380270.05,BTC
2024-05-01,58652.30499999999,3014503800.73,BTC
2024-05-02,58282.18,1724718703.27,BTC
2024-05-03,61095.795,2147038663.01,BTC
2024-05-04,63563.49,1029192793.92,BTC
2024-05-05,63778.95,803966989.59,BTC
2024-05-06,64116.615000000005,1537928462.74,BTC
2024-05-07,63338.619999999995,1326416673.48,BTC
2024-05-08,61936.06,1155791451.43,BTC
2024-05-09,62026.96000000001,1140626858.17,BTC
2024-05-10,61825.185,1565941805.66,BTC
2024-05-11,60982.135,505608099.69,BTC
